,vx,vy,vz,x,y,z
927,0,0,0,0,37,0
928,0,0,0,0,38,0
929,0,0,0,0,37,0
930,0,0,0,0,37,0
931,0,0,0,0,39,0
932,0,0,0,0,45,0
933,0,0,0,0,47,0
934,0,0,0,0,82,0
935,0,0,0,0,84,0
936,0,0,0,0,85,0
937,0,0,0,0,88,0
938,0,0,0,0,91,0
939,0,0,0,0,93,0
940,0,0,0,0,95,0
941,0,0,0,0,96,0
942,0,0,0,0,101,0
943,0,0,0,0,96,0
944,0,0,0,0,95,0
945,0,0,0,0,94,0
946,0,0,0,0,101,0
947,0,0,0,0,68,0
948,0,0,0,0,42,0
949,0,0,0,0,45,0
950,0,0,0,0,47,0
951,0,0,0,0,47,0
952,0,0,0,0,52,0
953,0,0,0,0,56,0
954,0,0,0,0,51,0
955,0,0,0,0,49,0
956,0,0,0,0,28,0
957,0,0,0,0,0,0
958,0,0,0,0,0,0
959,0,0,0,0,0,0
960,0,0,0,0,0,0
961,0,0,0,0,0,0
962,0,0,0,0,0,0
963,0,0,0,0,0,0
964,0,0,0,0,0,0
965,0,0,0,0,0,0
966,0,0,0,0,0,0
967,0,0,0,0,0,0
968,0,0,0,0,755,0
969,0,0,0,0,993,0
970,0,0,0,0,0,0
971,0,0,0,0,0,0
972,0,0,0,0,0,0
973,0,0,0,0,0,0
974,0,0,0,0,0,0
975,0,0,0,0,0,0
976,0,0,0,0,0,0
977,0,0,0,0,0,0
978,0,0,0,0,0,0
979,0,0,0,0,156,0
980,0,0,0,0,136,0
981,0,0,0,0,82,0
982,0,0,0,0,229,0
983,0,0,0,0,235,0
984,0,0,0,0,546,0
985,0,0,0,0,550,0
986,0,0,0,0,325,0
987,0,0,0,0,1338,0
988,0,0,0,0,87,0
989,0,0,0,0,0,0
990,0,0,0,0,0,0
991,0,0,0,0,0,0
992,0,0,0,0,0,0
993,0,0,0,0,0,0
994,0,0,0,0,0,0
995,0,0,0,0,0,0
996,0,0,0,0,0,0
997,0,0,0,0,0,0
998,0,0,0,0,0,0
999,0,0,0,0,0,0
1000,0,0,0,0,0,0
1001,0,0,0,0,0,0
1002,0,0,0,0,0,0
1003,0,0,0,0,0,0
1004,0,0,0,0,0,0
1005,0,0,0,0,0,0
1006,0,0,0,0,0,0
1007,0,0,0,0,0,0
1008,0,0,0,0,0,0
1009,0,0,0,0,0,0
1010,0,0,0,0,0,0
1011,0,0,0,0,0,0
1012,0,0,0,0,0,0
1013,0,0,0,0,0,0
1014,0,0,0,0,0,0
1015,0,0,0,0,0,0
1016,0,0,0,0,0,0
1017,0,0,0,0,0,0
1018,0,0,0,0,0,0
1019,0,0,0,0,0,0
1020,0,0,0,0,0,0
1021,0,0,0,0,0,0
1022,0,0,0,0,0,0
1023,0,0,0,0,0,0
